citation-key,title,authors,venue,year,url,abstract-summary,reported-metric,reported-value-ma,reported-value-sa,benchmark,backbone-model,architecture,sa-baseline-reported,compute-parity,notes
Tran2026,Single-Agent LLMs Outperform Multi-Agent Systems on Multi-Hop Reasoning Under Equal Thinking Token Budgets,"Dat Tran, Douwe Kiela",arXiv 2604.02460,2026,https://arxiv.org/abs/2604.02460,"Under equal thinking-token budgets single-agent LLMs match or outperform multi-agent systems across Qwen3 DeepSeek-R1-Distill-Llama and Gemini 2.5; information-theoretic argument via Data Processing Inequality shows single agents are more information-efficient",accuracy (multi-hop reasoning),varies by task (lower),varies by task (higher or equal),MuSiQue / HotpotQA / 2WikiMHQA,"Qwen3, DeepSeek-R1, Gemini 2.5",debate,yes,yes,"Core frontier-model-paradox evidence: when compute is controlled multi-agent gains vanish; predicted by Data Processing Inequality"
Kim2025,Towards a Science of Scaling Agent Systems,"Jieyu Kim, Yicheng Wang, Zhi Huang, Qian Liu",arXiv 2512.08296,2025,https://arxiv.org/abs/2512.08296,"Proposes taxonomy for scaling agent systems; finds coordination yields diminishing returns once single-agent success rate exceeds ~45%; multi-agent relative gain ranges from +80.8% to -70.0% depending on task decomposability",relative performance change vs single-agent,+80.8% (best) / -70.0% (worst),baseline,multiple agentic benchmarks,"GPT-4o, Claude 3.5, Gemini",cooperation,yes,unclear,"Key finding: once SA baseline >45% adding agents yields diminishing or negative returns; directly supports frontier-model paradox"
Xiao2025,"Beyond the Strongest LLM: Multi-Turn Multi-Agent Orchestration vs. Single LLMs on Benchmarks","Ruihan Xiao, Yue Zhang, et al.",arXiv 2509.23537,2025,https://arxiv.org/abs/2509.23537,"Multi-turn multi-agent orchestration matches or slightly exceeds strongest single model on GPQA-Diamond IFEval MuSR; ablations reveal herding effects and premature consensus",accuracy,orchestration matches or slightly exceeds best single LLM,best single LLM baseline,"GPQA-Diamond, IFEval, MuSR","Gemini 2.5 Pro, GPT-5, Grok 4, Claude Sonnet 4",cooperation,yes,unclear,"Partial counter-evidence: orchestration still slightly helps but gap is narrow with frontier models; herding can hurt"
Chen2026,"Single-agent or Multi-agent Systems? Why Not Both?","Jiayi Chen, Yuxiang Zhang, et al.",arXiv 2505.18286,2026,https://arxiv.org/abs/2505.18286,"Benefits of MAS over SAS diminish as LLM capabilities improve; proposes hybrid request-cascading paradigm improving accuracy 1.1-12% while reducing costs up to 20%",accuracy improvement over SAS,1.1-12% improvement via cascading,SAS baseline,multiple agentic tasks,"OpenAI o3, Gemini 2.5 Pro",hierarchy,yes,yes,"Directly states frontier-model paradox: MAS is workaround for LLM limits that becomes less needed as models improve; proposes hybrid solution"
Bogavelli2025,"AgentArch: A Comprehensive Benchmark to Evaluate Agent Architectures in Enterprise","Tara Bogavelli, Roshnee Sharma, Hari Subramani",arXiv 2509.10769,2025,https://arxiv.org/abs/2509.10769,"First benchmark systematically evaluating 18 agentic architectures across 6 LLMs on enterprise tasks; reveals model-specific architectural preferences challenging one-size-fits-all paradigm",task success rate,max 35.3% (complex) / 70.8% (simple),varies by architecture,AgentArch enterprise tasks,"GPT-4o, Claude 3.5 Sonnet, Gemini, others",other,yes,yes,"Shows significant weaknesses in multi-agent ReAct; architectural preference is model-dependent supporting nuanced view of frontier-model paradox"
Li2026,"Understanding Agent Scaling in LLM-Based Multi-Agent Systems via Diversity","Li et al.",arXiv 2602.03794,2026,https://arxiv.org/abs/2602.03794,"Homogeneous agent scaling shows strong diminishing returns; marginal gain per additional agent collapses toward zero; diversity is key to maintaining scaling benefits",accuracy vs agent count,diminishing (homogeneous); better with diversity,single-agent baseline,"voting, debate, orchestration benchmarks",multiple LLMs,debate,yes,unclear,"Information-theoretic explanation for diminishing returns in homogeneous MAS; supports frontier-model paradox for same-model scaling"
Qian2024,"Scaling Large Language Model-based Multi-Agent Collaboration","Chen Qian, Zihao Xie, et al.",ICLR 2025 / arXiv 2406.07155,2024,https://arxiv.org/abs/2406.07155,"Multi-agent performance follows logistic growth with agent count; collaborative emergence occurs earlier than neural emergence; majority voting gains plateau at ~8 agents with only 0.9% improvement",accuracy vs agent count,+0.9% with majority voting (8 agents),single-agent baseline,collaborative coding and math tasks,"GPT-3.5, GPT-4",cooperation,yes,unclear,"Early evidence of diminishing returns: voting plateaus quickly; logistic growth pattern suggests ceiling with stronger models"
Smit2024,"Should we be going MAD? A Look at Multi-Agent Debate Strategies for LLMs","Andries P Smit, Nathan Grinsztajn, Paul Duckworth, Thomas D Barrett, A Pretorius",ICML 2024,2024,https://arxiv.org/abs/2311.17371,"MAD does not reliably outperform self-consistency and ensembling; debate systems are more sensitive to hyperparameters; benefits are not inherent to multi-agent architecture",accuracy on reasoning tasks,MAD does not reliably outperform alternatives,self-consistency baseline,"TruthfulQA, GSM8K, MMLU","GPT-3.5, GPT-4",debate,yes,yes,"Supports frontier-model paradox: simpler single-agent methods like self-consistency match or beat MAD; architectural overhead not justified"
Eo2025,"Debate Only When Necessary: Adaptive Multiagent Collaboration for Efficient LLM Reasoning","Sugyeong Eo, Hyeonseok Moon, Evelyn Hayoon Zi, Chanjun Park, Heuiseok Lim",arXiv 2504.05047,2025,https://arxiv.org/abs/2504.05047,"Proposes DOWN framework: selective debate activation based on confidence scores; 6x efficiency improvement while preserving performance; unnecessary debate increases error risk",accuracy + efficiency,matches full debate with 6x fewer interactions,single-agent with confidence scoring,reasoning benchmarks,multiple LLMs,debate,yes,yes,"Shows most queries don't need multi-agent debate; stronger models have higher initial confidence reducing debate need further -- supports paradox"
Anthropic2026a,"System Card: Claude Opus 4.6","Anthropic",Anthropic Technical Report,2026,https://www-cdn.anthropic.com/0dd865075ad3132672ee0ab40b05a53f14cf5288.pdf,"Opus 4.6 achieves 65.4% Terminal-Bench 2.0 (max effort) 80.8% SWE-bench Verified; leads GDPval-AA by 190 Elo over Opus 4.5 and 144 over GPT-5.2; SOTA on WebArena OSWorld BrowseComp",SWE-bench Verified,NR,80.8%,SWE-bench Verified,Claude Opus 4.6,single-agent-frontier,yes,no,"Single-agent frontier model achieving SOTA across multiple agentic benchmarks; demonstrates capabilities that previously required multi-agent systems"
Anthropic2025a,"Introducing Claude 4 (System Card: Claude Opus 4 & Sonnet 4)","Anthropic",Anthropic Technical Report,2025,https://www.anthropic.com/claude-4-system-card,"Opus 4 achieves 72.5% SWE-bench 43.2% Terminal-bench; best coding model at launch; designed for sustained multi-step reasoning and long-horizon planning",SWE-bench Verified,NR,72.5%,SWE-bench Verified,Claude Opus 4,single-agent-frontier,yes,no,"Baseline for tracking single-agent frontier progress; Opus 4 to 4.6 shows 72.5% to 80.8% on SWE-bench purely from model improvements"
Anthropic2025b,"System Card: Claude Opus 4.5","Anthropic",Anthropic Technical Report,2025,https://www.anthropic.com/claude-opus-4-5-system-card,"Opus 4.5 achieves SOTA on WebArena (single-agent) 62.3% MCP-Atlas; 15% improvement over Sonnet 4.5 on Terminal-Bench; 80.9% SWE-bench Verified",SWE-bench Verified,NR,80.9%,SWE-bench Verified,Claude Opus 4.5,single-agent-frontier,yes,no,"Explicitly notes single-agent SOTA on WebArena; multi-agent systems with specialized prompts score higher but are not directly comparable"
Anthropic2024,"Raising the bar on SWE-bench Verified with Claude 3.5 Sonnet","Anthropic",Anthropic Blog,2024,https://www.anthropic.com/news/swe-bench-sonnet,"Upgraded Claude 3.5 Sonnet achieves 49% on SWE-bench Verified beating previous SOTA of 45%; design philosophy emphasized minimal scaffolding giving control to the model itself",SWE-bench Verified,NR,49.0%,SWE-bench Verified,Claude 3.5 Sonnet,single-agent-frontier,yes,no,"Design philosophy of minimal scaffolding directly supports frontier-model paradox: stronger model needs less orchestration infrastructure"
Jimenez2024,"SWE-bench: Can Language Models Resolve Real-World GitHub Issues?","Carlos E Jimenez, John Yang, Alexander Wettig, Shunyu Yao, Kexin Pei, Ofir Press, Karthik R Narasimhan",ICLR 2024 / arXiv 2310.06770,2024,https://arxiv.org/abs/2310.06770,"Introduces SWE-bench with 2294 software engineering problems from real GitHub issues; establishes evaluation framework for coding agents; initial models solved only 1.96% of problems",resolution rate,NR,1.96% (initial GPT-4),SWE-bench,GPT-4,single-agent-frontier,no,no,"Foundational benchmark; trajectory from 1.96% to 93.9% illustrates how model improvement reduces need for complex multi-agent scaffolding"
