citation-key,title,authors,venue,year,url,abstract-summary,reported-metric,reported-value-ma,reported-value-sa,benchmark,backbone-model,architecture,sa-baseline-reported,compute-parity,notes
Kim2024,MDAgents: An Adaptive Collaboration of LLMs for Medical Decision-Making,"Kim, Park, et al.",NeurIPS,2024,https://arxiv.org/abs/2404.15155,Adaptive multi-agent framework that assigns solo or group collaboration structures to LLM teams based on medical task complexity; best in 7/10 benchmarks.,accuracy,83.9,79.7,MedQA,GPT-4,hierarchy,yes,no,Up to 4.2% improvement over best prior; 11.8% avg gain from moderator+knowledge in group collaboration
Tang2024,MedAgents: Large Language Models as Collaborators for Zero-shot Medical Reasoning,"Tang, et al.",ACL Findings,2024,https://arxiv.org/abs/2311.10537,Role-playing LLM agents participate in multi-round discussion for zero-shot medical reasoning across 9 datasets.,accuracy,86.7,80.6,MedQA (avg 9 datasets),GPT-4,debate,yes,no,6.1pp average improvement across MedQA/MedMCQA/PubMedQA/MMLU subtasks
Hong2024,"ArgMed-Agents: Explainable Clinical Decision Reasoning with LLM Discussion via Argumentation Schemes","Hong, Xiao, et al.",arXiv,2024,https://arxiv.org/abs/2403.06294,Multi-agent argumentation framework for explainable clinical decision reasoning; uses symbolic solver to identify rational arguments.,accuracy,NR,NR,MedQA / PubMedQA,GPT-4,debate,yes,unclear,Improves accuracy and explainability over CoT; specific numbers require full paper access
Li2025,Catfish Agent: Disrupting Agreement Bias in Multi-Agent LLMs for Clinical Decision Making,"Li, et al.",arXiv,2025,https://arxiv.org/abs/2505.21503,Introduces a dissent-injecting agent to counter silent agreement in multi-agent medical QA; 12.73pp avg improvement.,accuracy,34.0,28.0,MedXpert-MM,GPT-4o,verifier-critic,yes,no,39.2% relative gain over DeepSeek-R1; outperforms GPT-4o and prior multi-agent frameworks on 9 QA and 3 VQA benchmarks
MediHive2026,MediHive: A Decentralized Agent Collective for Medical Reasoning,"Authors not specified",IEEE ICHI,2026,https://arxiv.org/abs/2603.27150,Decentralized multi-agent framework with shared memory pool and iterative fusion; agents self-assign roles and conduct evidence-based debates.,accuracy,84.3,77.0,MedQA,NR,debate,yes,unclear,7.3pp over strongest single-agent; also 78.4% on PubMedQA
MedARC2025,MedARC: Adaptive Multi-Agent Refinement and Collaboration for Enhanced Medical Reasoning,"Authors not specified",Int J Med Inform,2025,https://www.sciencedirect.com/science/article/abs/pii/S1386505625003533,Multi-agent debate with structured inter-agent summarization and confidence-aware aggregation for medical QA.,accuracy,77.2,72.9,PubMedQA,DeepSeek-V3,debate,yes,no,4.3pp improvement; mitigates hallucinations and fragmented reasoning
Gibbons2025,Collaborative Intelligence in AI: Evaluating the Performance of a Council of AIs on the USMLE,"Gibbons, Cheema, et al.",PLOS Digital Health,2025,https://journals.plos.org/digitalhealth/article?id=10.1371/journal.pdig.0000787,Five GPT-4 agents with a facilitator iteratively discuss and reach consensus on 325 USMLE questions.,accuracy,97.0,NR,USMLE Step 1,GPT-4,debate,no,no,97%/93%/94% on Steps 1/2CK/3; 83% consensus accuracy on initially contested questions
Schmidgall2024,AgentClinic: A Multimodal Agent Benchmark to Evaluate AI in Simulated Clinical Environments,"Schmidgall, et al.",arXiv / npj Digital Med,2024,https://arxiv.org/abs/2405.07960,Multi-agent clinical simulation benchmark with patient/doctor/examiner agents; accuracy drops to 1/10 of static QA format.,accuracy,60.3,NR,AgentClinic-MedQA,Claude-3.5,role-play,yes,unclear,Diagnostic accuracy much lower in interactive vs static format; bias reduces accuracy further
Chen2025,Enhancing Diagnostic Capability with Multi-Agents Conversational Large Language Models,"Chen, Yi, You, et al.",npj Digital Medicine,2025,https://www.nature.com/articles/s41746-025-01550-0,MAC framework inspired by clinical MDT discussions for rare disease diagnosis on 302 cases.,accuracy,NR,NR,Rare disease (302 cases),GPT-4,debate,yes,no,MAC with 4 doctors + supervisor outperforms CoT/Self-Refine/Self-Consistency; optimal at 4 agents
Charney2026,Orchestrated Multi Agents Sustain Accuracy Under Clinical-Scale Workloads Compared to a Single Agent,"Charney, Glicksberg, Nadkarni, et al.",npj Health Systems,2026,https://www.nature.com/articles/s44401-026-00077-0,Orchestrated multi-agent system vs single agent under clinical workloads of 5-80 concurrent tasks.,accuracy,90.6,73.1,Clinical tasks (5 tasks),GPT-4,hierarchy,yes,yes,Single-agent collapses to 16.6% at 80 tasks while multi-agent holds at 65.3%; 65x token reduction
Ophth2026,Deliberative Multi-Agent Large Language Models Improve Clinical Reasoning in Ophthalmology,"Authors not specified",arXiv,2026,https://arxiv.org/abs/2603.21447,Multi-agent councils of 4 LLMs with peer review on 100 ophthalmology vignettes; 3 tiers tested.,accuracy,96.0,86.5,Ophthalmology vignettes,Proprietary fast LLMs,debate,yes,yes,Proprietary flagship: 95.0 vs 90.8; open-source: 91.0 vs 83.2; consistent improvement across tiers
MedLA2025,MedLA: A Logic-Driven Multi-Agent Framework for Complex Medical Reasoning with Large Language Models,"Authors not specified",AAAI,2026,https://arxiv.org/abs/2509.23725,Logic-driven multi-agent with syllogistic trees and cross-agent discussion for medical reasoning.,accuracy,41.7,30.6,MedDDx-Expert,LLaMA-3.1-8B,debate,yes,yes,11.1pp gain (8B); 10.1pp gain (70B: 51.9 vs 41.8); no fine-tuning or retrieval needed
MAM2025,"MAM: Modular Multi-Agent Framework for Multi-Modal Medical Diagnosis via Role-Specialized Collaboration","Zhou, et al.",ACL Findings,2025,https://arxiv.org/abs/2506.19835,Modular framework with GP/Specialist/Radiologist/Assistant/Director agents for multimodal medical diagnosis.,accuracy,NR,NR,Multimodal medical datasets,Various,role-play,yes,unclear,18-365% improvement over baseline models; optimal at 3 specialized roles
