citation-key,title,authors,venue,year,url,abstract-summary,reported-metric,reported-value-ma,reported-value-sa,benchmark,backbone-model,architecture,sa-baseline-reported,compute-parity,notes
Wang2024,Mixture-of-Agents Enhances Large Language Model Capabilities,"Junlin Wang, Jue Wang, Ben Athiwaratkun, Ce Zhang, James Zou",ICLR 2025,2024,https://arxiv.org/abs/2406.04692,Layered MoA architecture where each layer has multiple LLM agents taking outputs from previous layer as auxiliary info,LC win rate (%),65.1,57.5,AlpacaEval 2.0,GPT-4o + open-source LLMs,moa,yes,no,MoA with open-source LLMs surpasses GPT-4o; also SOTA on MT-Bench and FLASK
Hong2024,MetaGPT: Meta Programming for A Multi-Agent Collaborative Framework,"Sirui Hong, Mingchen Zhuge, Jonathan Chen, Xiawu Zheng, Yuheng Cheng, others",ICLR 2024,2024,https://arxiv.org/abs/2308.00352,Multi-agent framework encoding SOPs into prompts with roles like product manager and engineer for software dev,Pass@1 (%),85.9,67.0,HumanEval,GPT-4,hierarchy,yes,no,Executability score 3.9 vs ChatDev 2.1 on SoftwareDev; 100% task completion rate
Qian2024,ChatDev: Communicative Agents for Software Development,"Chen Qian, Xin Cong, Wei Liu, Cheng Yang, Weize Chen, others",ACL 2024,2024,https://arxiv.org/abs/2307.07924,Virtual software company with CEO/CTO/programmer/tester roles collaborating via chat for end-to-end software development,executability score (1-4),2.1,1.0,SoftwareDev,GPT-3.5-Turbo,role-play,yes,no,Score of 1.0 for AutoGPT baseline; ChatDev outperforms single-agent but underperforms MetaGPT
Li2023,CAMEL: Communicative Agents for Mind Exploration of Large Language Model Society,"Guohao Li, Hasan Hammoud, Hani Itani, Dmitrii Khizbullin, Bernard Ghanem",NeurIPS 2023,2023,https://arxiv.org/abs/2303.17760,Role-playing framework using inception prompting for autonomous multi-agent cooperation and data generation,task completion rate,NR,NR,CAMEL AI Society,GPT-3.5-Turbo / GPT-4,role-play,no,unclear,Primarily a framework paper; generated datasets used to fine-tune models that surpass LLaMA-7B and Vicuna-7B
Chen2024a,AgentVerse: Facilitating Multi-Agent Collaboration and Exploring Emergent Behaviors,"Weize Chen, Yusheng Su, Jingwei Zuo, Cheng Yang, Chenfei Yuan, others",ICLR 2024,2024,https://arxiv.org/abs/2308.10848,Four-stage multi-agent framework (recruit/decide/execute/evaluate) showing emergent collaborative behaviors,accuracy improvement,NR,NR,text understanding / reasoning / coding,GPT-4 / GPT-3.5-Turbo,cooperation,yes,unclear,Multi-agent outperforms single agent across tasks; GPT-3.5 collaboration can be vulnerable to incorrect info
Du2024,Improving Factuality and Reasoning in Language Models through Multiagent Debate,"Yilun Du, Shuang Li, Antonio Torralba, Joshua Tenenbaum, Igor Mordatch",ICML 2024,2024,https://arxiv.org/abs/2305.14325,Multiple LLM instances debate over multiple rounds to reach consensus on reasoning and factuality tasks,accuracy (%),85.0,70.0,GSM8K (subset),GPT-3.5-Turbo,cooperation,yes,no,17/20 vs 14/20 on GSM subset; also improves on MMLU and biography generation factuality
Liang2024,Encouraging Divergent Thinking in Large Language Models through Multi-Agent Debate,"Tian Liang, Zhiwei He, Wenxiang Jiao, Xing Wang, Yan Wang, others",EMNLP 2024,2024,https://arxiv.org/abs/2305.19118,MAD framework with tit-for-tat debate and judge to address Degeneration-of-Thought problem,accuracy (%),37.0,27.5,Counter-Intuitive AR,GPT-3.5-Turbo,cooperation,yes,no,Also achieves COMET 82.0 on Common MT surpassing GPT-4 baseline; addresses DoT problem in self-reflection
Tran2026,Single-Agent LLMs Outperform Multi-Agent Systems on Multi-Hop Reasoning Under Equal Thinking Token Budgets,"Dat Tran, Douwe Kiela",arXiv preprint,2026,https://arxiv.org/abs/2604.02460,Information-theoretic argument via Data Processing Inequality that single agents are more efficient under fixed token budgets,accuracy (%),NR,NR,multi-hop reasoning,Qwen3 / DeepSeek-R1 / Gemini 2.5,cooperation,yes,yes,Single agent matches or outperforms MA in nearly every condition under equal compute; key methodological critique
Zhang2025,MultiAgentBench: Evaluating the Collaboration and Competition of LLM Agents,"Kunlun Zhu, Hongyi Du, Zhaochen Hong, Xiaocheng Yang, Shuyi Guo, others",ACL 2025,2025,https://arxiv.org/abs/2503.01935,Comprehensive benchmark with milestone-based KPIs for cooperative and competitive multi-agent scenarios,task score (%),84.13,NR,Research scenario,GPT-4o-mini,cooperation,no,unclear,Graph topology performs best; cognitive planning improves milestone rates by 3%; evaluates star/chain/tree/graph topologies
Liu2024,DyLAN: A Dynamic LLM-Powered Agent Network for Task-Oriented Agent Collaboration,"Zijun Liu, Yanzhe Zhang, Peng Li, Yang Liu, Diyi Yang",arXiv preprint,2024,https://arxiv.org/abs/2310.02170,Dynamic agent network with Agent Importance Score for adaptive team selection across tasks,accuracy improvement (%),13.0,baseline,MATH,GPT-3.5-Turbo,cooperation,yes,no,13.3% improvement on HumanEval; 10.2% improvement over LLM Debate with 36.6% API calls; also improves MMLU by up to 25%
