citation-key,title,authors,venue,year,url,abstract-summary,reported-metric,reported-value-ma,reported-value-sa,benchmark,backbone-model,architecture,sa-baseline-reported,compute-parity,notes
TranKiela2025,"Single-Agent LLMs Outperform Multi-Agent Systems on Multi-Hop Reasoning Under Equal Thinking Token Budgets","Tran; Kiela",arXiv,2025,https://arxiv.org/abs/2604.02460,"Information-theoretic argument (Data Processing Inequality) showing single agents match or beat multi-agent under equal token budgets across multiple models.",accuracy,NR,NR,"HotpotQA; MuSiQue; 2WikiMultiHopQA","Qwen3; DeepSeek-R1-Distill-Llama; Gemini 2.5",debate,yes,yes,"SA consistently matches or exceeds MA when thinking-token budget is held constant. Concludes that reported MA advantages stem from unaccounted computation rather than architectural benefits."
Xu2025,"Rethinking the Value of Multi-Agent Workflow: A Strong Single Agent Baseline","Xu et al.",arXiv,2025,https://arxiv.org/abs/2601.12307,"Shows a single agent via multi-turn conversation can match homogeneous multi-agent workflows across 7 benchmarks with efficiency gains from KV cache reuse.",accuracy,NR,NR,"coding; math; QA; domain-specific reasoning; planning; tool-use",multiple,cooperation,yes,yes,"Proposes OneFlow algorithm. Single agent matches homogeneous MA workflows. Highlights that most MA frameworks are homogeneous (same base LLM) so a single agent can replicate them."
Zhang2025,"Stop Overvaluing Multi-Agent Debate -- We Must Rethink Evaluation and Embrace Model Heterogeneity","Zhang et al.",arXiv,2025,https://arxiv.org/abs/2502.08788,"Systematic evaluation of 5 MAD methods across 9 benchmarks using 4 foundation models. MAD fails to reliably outperform CoT and self-consistency.",accuracy,NR,NR,"9 benchmarks (not specified individually)","4 foundation models",debate,yes,no,"MAD methods fail to reliably outperform simple single-agent baselines (CoT and Self-Consistency) even when consuming additional inference-time computation. Critical shortcomings in evaluation practices identified."
Cemri2025,"Why Do Multi-Agent LLM Systems Fail?","Cemri; Pan; Yang et al.",NeurIPS,2025,https://arxiv.org/abs/2503.13657,"Introduces MAST taxonomy with 14 failure modes across 1600+ annotated traces from 7 MAS frameworks. Performance gains across popular benchmarks remain minimal.",failure-rate,NR,NR,"7 MAS frameworks",multiple,other,yes,unclear,"14 unique failure modes in 3 categories: system design issues; inter-agent misalignment; task verification. High inter-annotator agreement (kappa=0.88). Accepted NeurIPS 2025 Datasets & Benchmarks track."
Wynn2025,"Talk Isn't Always Cheap: Understanding Failure Modes in Multi-Agent Debate","Wynn; Satija; Hadfield",ICML,2025,https://arxiv.org/abs/2509.05396,"Models frequently shift from correct to incorrect answers during debate. Weak agents can detrimentally affect strong agents. Longer debates can degrade performance.",accuracy,NR,NR,multiple,multiple,debate,yes,no,"Introducing a weak LLM into debate with a strong LLM produces results worse than no debate. Performance can degrade the longer debate continues. Sycophancy and social conformity identified as contributing factors."
Liu2025,"Peacemaker or Troublemaker: How Sycophancy Shapes Multi-Agent Debate","Liu et al.",arXiv,2025,https://arxiv.org/abs/2509.23055,"First operational framework defining sycophancy in MAD. Higher debater sycophancy strongly associated with failures to reach correct conclusions during disagreements.",accuracy,NR,NR,multiple,multiple,debate,yes,unclear,"Sycophantic behavior undermines performance by encouraging premature consensus and reducing decision quality. Proposes spectrum from troublemaker (independent reasoning) to peacemaker (agreement-seeking)."
Wu2025,"Can LLM Agents Really Debate? A Controlled Study of Multi-Agent Debate in Logical Reasoning","Wu; Li; Li",arXiv,2025,https://arxiv.org/abs/2511.07784,"Controlled study using Knight-Knave-Spy puzzles. Intrinsic reasoning strength and group diversity are dominant drivers; structural debate parameters (order; confidence visibility) offer limited gains.",accuracy,NR,NR,Knight-Knave-Spy puzzles,multiple,debate,yes,unclear,"Debate structure provides minimal improvement. The gains come from agent diversity and intrinsic capability rather than the debate mechanism itself."
Becker2025,"Stay Focused: Problem Drift in Multi-Agent Debate","Becker; Kaesberg; Stephan; Wahle; Ruas; Gipp",arXiv,2025,https://arxiv.org/abs/2502.19559,"Quantifies problem drift across 10 tasks. Generative tasks drift 76-89% of the time. Root causes: lack of progress (35%); low-quality feedback (26%); lack of clarity (25%).",FOCUS-score,NR,NR,"3 generative; 3 knowledge; 3 reasoning; 1 instruction-following",multiple,debate,yes,unclear,"Problem drift causes performance decay over debate rounds. Proposes DRIFTJudge for detection and DRIFTPolicy mitigates 31% of drift cases. 170 debates analyzed by 8 human experts."
Choi2025,"Debate or Vote: Which Yields Better Decisions in Multi-Agent Large Language Models?","Choi; Zhu; Li; Li",arXiv,2025,https://arxiv.org/abs/2508.17536,"Disentangles MAD into voting and debate components. Majority voting alone accounts for most performance gains attributed to MAD. Debate induces a martingale over belief trajectories.",accuracy,NR,NR,"7 NLP benchmarks",multiple,debate,yes,no,"Proves debate alone does not improve expected correctness (martingale property). Most performance gains from MAD are actually from ensembling/majority voting not the debate mechanism."
Yang2026,"Understanding Agent Scaling in LLM-Based Multi-Agent Systems via Diversity","Yang et al.",arXiv,2026,https://arxiv.org/abs/2602.03794,"Scaling homogeneous agents shows strong diminishing returns. Performance bounded by intrinsic task uncertainty not agent count. Diversity is key not quantity.",accuracy,NR,NR,multiple,multiple,other,yes,unclear,"Homogeneous agent scaling: marginal gain collapses toward zero. Output correlation creates redundancy. Heterogeneity (different models; prompts; tools) sustains improvement where homogeneous scaling fails."
