citation-key,title,authors,venue,year,url,abstract-summary,reported-metric,reported-value-ma,reported-value-sa,benchmark,backbone-model,architecture,sa-baseline-reported,compute-parity,notes
Huang2024,AgentCoder: Multi-Agent-based Code Generation with Iterative Testing and Optimisation,"Dong Huang, Jie M. Zhang, Michael Luck, Qingwen Bu, Yuhao Qing, Heming Cui",arXiv,2024,https://arxiv.org/abs/2312.13010,Multi-agent framework with programmer/test-designer/test-executor agents for iterative code generation and testing,pass@1,96.3,67.0,HumanEval,GPT-4,cooperation,yes,no,"SA baseline is GPT-4 direct prompting (67.0%). MA also scored 91.8% on MBPP vs ~52% SA."
Islam2024,MapCoder: Multi-Agent Code Generation for Competitive Problem Solving,"Md. Ashraful Islam, Mohammed Eunus Ali, Md Rizwan Parvez",ACL,2024,https://aclanthology.org/2024.acl-long.269/,Four-agent pipeline (retrieval/planning/coding/debugging) for competitive programming code generation,pass@1,93.9,84.1,HumanEval,GPT-4,planner-executor,yes,no,"Also MBPP 83.1%, APPS 22.0%, CodeContests 28.5%. SA baseline is GPT-4 direct."
Hong2024,MetaGPT: Meta Programming for a Multi-Agent Collaborative Framework,"Sirui Hong, Mingchen Zhuge, Jonathan Chen, Xiawu Zheng, Yuheng Cheng, et al.",ICLR,2024,https://arxiv.org/abs/2308.00352,Multi-agent framework using structured outputs (documents/diagrams) for software development with SOPs,pass@1,85.9,67.0,HumanEval,GPT-4,hierarchy,yes,no,"Also 87.7% on MBPP. SA baseline is GPT-4 direct. Agents communicate via structured documents, not dialogue."
Qian2024,ChatDev: Communicative Agents for Software Development,"Chen Qian, Wei Liu, Hongzhang Liu, Nuo Chen, Yufan Dang, et al.",ACL,2024,https://aclanthology.org/2024.acl-long.810/,Virtual software company with 7 role-playing agents (CEO/CTO/programmer/reviewer/tester/designer/CPO),executability,86.66,NR,SoftwareDev,GPT-3.5-turbo,role-play,no,no,"Quality score 0.3953 vs MetaGPT 0.1523. Evaluated on software project generation, not function-level benchmarks."
Antoniades2024,"SWE-Search: Enhancing Software Agents with Monte Carlo Tree Search and Iterative Refinement","Antonis Antoniades, Albert Örwall, Kexun Zhang, Yuxi Xie, Anirudh Goyal, William Wang",ICLR,2025,https://arxiv.org/abs/2410.20285,Multi-agent MCTS with SWE-Agent/Value-Agent/Discriminator-Agent for repo-level issue resolution,resolve-rate,23% rel. impr.,NR,SWE-bench Lite,GPT-4o,verifier-critic,yes,yes,"23% relative improvement over baseline across 5 models. Published at ICLR 2025."
Chen2024,CodeR: Issue Resolving with Multi-Agent and Task Graphs,"Dong Chen, Haowei Tao, Yi Wen, Haiquan Zhao",arXiv,2024,https://arxiv.org/abs/2406.01304,Multi-agent framework with fault-localizer/editor/verifier using pre-defined task graphs,resolve-rate,28.33,19.0,SWE-bench Lite,GPT-4,hierarchy,yes,no,"Builds on AutoCodeRover search. SA baseline is AutoCodeRover at 19%."
Jain2024,MASAI: Modular Architecture for Software-engineering AI Agents,"Daman Jain, Abhiram Kothapalli, Naman Jain, et al.",arXiv,2024,https://arxiv.org/abs/2406.11638,Modular multi-agent system with specialized sub-agents for SWE tasks at <$2/issue,resolve-rate,28.33,NR,SWE-bench Lite,GPT-4,cooperation,no,unclear,"Achieved state-of-the-art at time of submission. Modular sub-agents with different strategies."
Zhang2024,AutoCodeRover: Autonomous Program Improvement,"Yuntong Zhang, Haifeng Ruan, Zhiyu Fan, Abhik Roychoudhury",ISSTA,2024,https://arxiv.org/abs/2404.05427,Program-structure-aware autonomous agent using iterative code search for GitHub issues,resolve-rate,19.0,NR,SWE-bench Lite,GPT-4,other,no,unclear,"Single-agent but structure-aware. Used as SA baseline by CodeR. Cost $0.43/issue."
Xia2024,Agentless: Demystifying LLM-based Software Engineering Agents,"Chunqiu Steven Xia, Yinlin Deng, Soren Dunn, Lingming Zhang",PACMSE,2024,https://arxiv.org/abs/2407.01489,Three-phase agentless approach (localize/repair/validate) without autonomous agent decisions,resolve-rate,32.0,NR,SWE-bench Lite,GPT-4o,other,no,unclear,"Key SA baseline. No agent loop. Cost $0.70/issue. Adopted by OpenAI/DeepSeek for model eval."
Zhang2024b,Diversity Empowers Intelligence: Integrating Expertise of Software Engineering Agents,"Kexun Zhang, Weiran Yao, Zuxin Liu, Yihao Feng, et al.",arXiv,2024,https://arxiv.org/abs/2408.07060,Meta-module (DEI) that orchestrates diverse SWE agents via rating and re-ranking pipeline,resolve-rate,34.3,27.3,SWE-bench Lite,mixed,cooperation,yes,unclear,"Best individual agent: 27.3%. DEI ensemble: 34.3% (25% improvement). Best group reaches 55%."
