citation-key,title,authors,venue,year,url,abstract-summary,reported-metric,reported-value-ma,reported-value-sa,benchmark,backbone-model,architecture,sa-baseline-reported,compute-parity,notes
Du2023,"Improving Factuality and Reasoning in Language Models through Multiagent Debate","Yilun Du, Shuang Li, Antonio Torralba, Joshua B. Tenenbaum, Igor Mordatch",ICML 2024,2023,https://arxiv.org/abs/2305.14325,Seminal MAD paper; multiple LLM instances debate over rounds to reach common answer. Improves math reasoning and factuality.,accuracy,85.0,77.0,GSM8K,ChatGPT (GPT-3.5),debate,yes,no,Foundational MAD paper. Also reports Arithmetic: 81.8 MA vs 67.0 SA. MA uses 3 agents x multiple rounds.
Smit2023,"Should we be going MAD? A Look at Multi-Agent Debate Strategies for LLMs","Andries Smit, Paul Duckworth, Nathan Grinsztajn, Thomas D. Barrett, Arnu Pretorius",ICML 2024,2023,https://arxiv.org/abs/2311.17371,Benchmarks range of MAD strategies; finds MAD does not reliably outperform self-consistency but can match with hyperparameter tuning.,accuracy,NR,NR,TruthfulQA / MMLU,GPT-3.5 / GPT-4,debate,yes,yes,Multi-Persona MAD can surpass non-debate protocols with tuning. Open-source benchmark repo provided.
Chan2023,"ChatEval: Towards Better LLM-based Evaluators through Multi-Agent Debate","Chi-Min Chan, Weize Chen, Yusheng Su, Jianxuan Yu, Wei Xue, Shanghang Zhang, Jie Fu, Zhiyuan Liu",ICLR 2024,2023,https://arxiv.org/abs/2308.07201,Multi-agent debate for LLM-as-judge evaluation; diverse role prompts improve alignment with human judgment.,accuracy,NR,NR,FairEval / Topical-Chat,GPT-3.5 / GPT-4,debate,yes,unclear,Reports +6.2% accuracy for ChatGPT and +2.5% for GPT-4 over single-agent judge. Evaluation-focused MAD.
Wang2024,"Rethinking the Bounds of LLM Reasoning: Are Multi-Agent Discussions the Key?","Qineng Wang, Zihao Wang, Ying Su, Hanghang Tong, Yangqiu Song",ACL 2024,2024,https://arxiv.org/abs/2402.18272,Finds single-agent LLM with strong prompts achieves near-identical performance to best multi-agent discussion on reasoning tasks.,accuracy,NR,NR,ECQA / GSM8K / FOLIOwiki,ChatGPT / GPT-4,debate,yes,yes,Proposes CMD framework. Key finding: MA discussion only helps when no demonstrations in prompt.
Zhang2025a,"Stop Overvaluing Multi-Agent Debate -- We Must Rethink Evaluation and Embrace Model Heterogeneity","Jintian Zhang, Yuhua Li, Ruixiao Sun, and others",ICML 2025,2025,https://arxiv.org/abs/2502.08788,Position paper; systematic eval of 5 MAD methods across 9 benchmarks with 4 models shows MAD often fails to beat CoT/SC.,accuracy,NR,NR,MMLU / GSM8K / HumanEval + 6 others,GPT-4 / LLaMA / Mixtral / Qwen,debate,yes,yes,Critical reappraisal. Model heterogeneity proposed as universal fix. 5 MAD methods evaluated.
Fan2025,"iMAD: Intelligent Multi-Agent Debate for Efficient and Accurate LLM Inference","Wei Fan, JinYi Yoon, Bo Ji",AAAI 2026 (Oral),2025,https://arxiv.org/abs/2511.11306,Selective debate trigger via classifier; reduces tokens 68-92% while improving accuracy up to +13.5pp.,accuracy,84.8,71.3,GSM8K,Gemini 2.0 Flash,debate,yes,no,Also: MEDQA 82.0 vs 76.6; MMLU 89.2 vs 86.8; ScienceQA 90.8 vs 86.0 (CoT baseline). Token-efficient.
Wu2025,"Can LLM Agents Really Debate? A Controlled Study of Multi-Agent Debate in Logical Reasoning","Haolun Wu, Zhenkun Li, Lingyao Li",arXiv,2025,https://arxiv.org/abs/2511.07784,Controlled study using Knight-Knave-Spy puzzles; debate improves accuracy +52% for size-4 puzzles but weaker agents susceptible to majority pressure.,accuracy,69.33,17.33,Knight-Knave-Spy (size 4),GPT-5-nano / Gemini-2.5-flash,debate,yes,unclear,Agent-level analysis. Diversity and reasoning strength are dominant drivers. +40.67% for size-6.
Wynn2025,"Talk Isn't Always Cheap: Understanding Failure Modes in Multi-Agent Debate","Andrea Wynn, Harsh Satija, Gillian Hadfield",ICML 2025,2025,https://arxiv.org/abs/2509.05396,Shows debate can degrade accuracy; 3x Mistral drops -9.2% on MMLU. Sycophancy and conformity identified as failure modes.,accuracy,73.4,82.6,MMLU,GPT-4o-mini / LLaMA-3.1-8B / Mistral-7B,debate,yes,no,"Heterogeneous 1xGPT+1xLLaMA+1xMistral: MMLU 88.2 vs 82.6 SA. 3xMistral degrades. Shows when debate hurts."
Yao2025,"Peacemaker or Troublemaker: How Sycophancy Shapes Multi-Agent Debate","Binwei Yao, Chao Shang, Wanyu Du, Jianfeng He, Ruixue Lian, Yi Zhang, Hang Su, Sandesh Swamy, Yanjun Qi",arXiv,2025,https://arxiv.org/abs/2509.23055,Studies sycophancy in MAD; centralized debate (86.65%) outperforms decentralized (83.62%) and single-agent (85.50%) on CommonsenseQA.,accuracy,86.65,85.50,CommonsenseQA,Qwen3-32B / LLaMA-3.3-70B,debate,yes,no,Decentralized debate can hurt (83.62%). DCR >80% in decentralized. Centralized structure mitigates sycophancy.
Lin2025,"Enhancing Multi-Agent Debate System Performance via Confidence Expression (ConfMAD)","Zijie Lin, Bryan Hooi",arXiv,2025,https://arxiv.org/abs/2509.14034,Confidence-calibrated MAD; improves MMLU from 76.3 (CoT) to 83.5; MATH from 60.0 to 78.4.,accuracy,83.5,76.3,MMLU,GPT-4o-mini + LLaMA-3.1-70B,debate,yes,no,"Also: MATH 78.4 vs 60.0 CoT; BIGGSM 65.5 vs 62.8. Uses heterogeneous models with Platt scaling."
